지역명,자치구명,지역종류,위도,경도,건물용도,거래유형,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,면적_25,면적_75,㎡당_중앙값
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,연립다세대,매매,115,높음,해당지역,65000.0,52250.0,79350.0,,,,,43.7,35.8,55.1,1529.592
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,오피스텔,매매,19,보통,법정동,21800.0,21300.0,23750.0,,,,,32.4,31.9,32.4,673.686
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,단독다가구,월세,127,높음,법정동,,,,2000.0,,,60.0,38.0,26.4,46.9,
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,아파트,월세,135,높음,해당지역,,,,50000.0,,,200.0,74.7,59.9,84.9,
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,연립다세대,월세,241,높음,해당지역,,,,12000.0,,,55.0,38.3,27.7,48.8,
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,오피스텔,월세,92,높음,법정동,,,,1000.0,,,85.0,32.4,31.9,32.4,
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,단독다가구,전세,38,높음,법정동,,,,19000.0,14000.0,29225.0,,40.6,33.5,54.8,427.122
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,아파트,전세,120,높음,해당지역,,,,111500.0,83500.0,130312.5,,82.8,65.4,84.9,1508.367
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,연립다세대,전세,214,높음,해당지역,,,,32940.0,27515.0,40000.0,,43.6,29.9,55.2,720.526
개포4동,강남구,행정동,37.47760487810615,127.05090294201617,오피스텔,전세,33,높음,법정동,,,,20000.0,19000.0,27500.0,,32.4,31.9,37.0,653.753
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,단독다가구,매매,34,높음,자치구,412500.0,316250.0,698750.0,,,,,287.1,246.8,395.0,1338.424
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,아파트,매매,44,높음,해당지역,126000.0,100000.0,139000.0,,,,,36.3,35.7,70.2,2203.947
논현1동,강남구,행정동,37.51004014272432,127.02743775450867,연립다세대,매매,150,높음,해당지역,38350.0,27125.0,50000.0,,,,,27.5,19.4,37.2,1319.383
